Title,Review,Rating
Brilliant,Nice phone and battery backup is superb value for money 🙂💥🔥,5
Absolute rubbish!,"Very bad smartphone , it is not buy",1
Must buy!,Mobile is very good 👍,5
Moderate,Camera medium quality .. and packaging totally worst🤬🤬,2
Great product,Good,5
Nice,This design so good...,3
Simply awesome,"Best budget phone
This phone camera is very good than vi vo",5
Super!,Nice Camera,5
Absolute rubbish!,"Battery - Not good
Performance - Good
Camera - Average
Speaker - Bad
Adaptor heating issue",1
Unsatisfactory,"Poor camera , even video quality with sound is too bad ,as the ph speaker cannot grab clear sound which results in poor quality output. Totally loss of money. Dissatisfied",1
Horrible,"Wrost delivery ever, I ordered it on 2nd of June and Get it on 13th of June. But it is value for money 💰💰",1
Wonderful,"The camera is fully loaded with features but the rear camera is just like the old 4MP camera or VGA camera.

The charger adaptor quality and power is pathetic , takes hours to charge in full.

Apart from these two cons it is the best phone in this budget.",4
Good,Very nice phone,3
Did not meet expectations,Network drops every now and then and we need to restart the phone everytime,1
Highly recommended,Excellent,5
Awesome,In this price range very nice phone.😊,5
Brilliant,Good protect,5
Did not meet expectations,Sound Clearity is very bad,1
Worth every penny,Good,5
Fair,Very good 👍😊😊😊,3
Classy product,Best price under great mobile,5
Worth every penny,Very Nice 👌🏻👌🏻😃😃,5
Excellent,Superb camera ❤️.,5
Not good,"After 7 days use
Battery 9/10
Built quality 3/10
Performance 7/10
Camera 6/10
Display 7/10
Backcover with product is of cheap quality so as built of phone is also low quality even though it seems to be good at first.",2
Wonderful,Good,4
Did not meet expectations,Performance is worst not even internet is working perfectly..all time need to restart to use internet..worst experience with Flipkart service as well,1
Super!,Awesime,5
Very Good,Good value for money...nice product..,4
Best in the market!,Very nice smartphone 🤓🤓🤓,5
Fair,Nice 👍👌,3
Perfect product!,Best quality mobile 📲📲 price best,5
Don't waste your money,Bad phone very slow charging,1
Nice,Budget phone to heyyy,3
Great product,Ok,5
Great product,"Totally Worth it Product , i m really happy...!",5
Fabulous!,Good quality and good future best price,5
Terrific purchase,"First impression is very good . Value for money smartphone
Must buy phone for those who wants an all rounder phone in tight(less) budget . Battery , Procesaor , Screen is far good from its price but camera is okay with lots of features like timelapse and slowmo .",5
Wonderful,So good battery good and display,5
Wonderful,Very nice,5
Good,Charging time 3 hour,3
Simply awesome,Nice product 👍👍,5
Fabulous!,At this price it's awesome after using of 20days,5
Classy product,Vellu for money,5
Great product,Superb phone,5
Excellent,Good itam,5
Good choice,Superb,4
Decent product,"I received having some visible scratches on its screen though it has a pre-attached screen guard. After using for 5 days, here is my feedback below.

Pros:
- Powerful battery backup
- Bigger screen display
- Performance..nicely tuned processor and ram
- Reasonable camera quality based on the price range

Cons:
- Long battery charging time
- Display screen that's height wise bigger than compared to width. Height could have been a tad lesser by making it a little wider.
- Speaker-sound cracks ...
READ MORE",3
Mind-blowing purchase,Simply superp,5
Great product,Nice mobile in this budget...,5
Best in the market!,Good,5
Super!,Better,5
Perfect product!,Nice Flipkart,5
Fair,Every thing is ohkk ...but I think camera quality could be better than ...,3
Worth every penny,Very nice 👍,5
Super!,Happy to buy this,5
Brilliant,Very good mobile,5
Super!,Ok,5
Terrific,Using the device for past one month.Was very disappointed with the camera( both front & back). Infinix had miserably failed in the photography department with this device.Nearly all user reviews had pointed this out.Apart from that this is hell of a device in its price range.Received an update today.Wonders- all issues in the camera has been sorted out.perfect pictures.Now infinix hot12 play is a killer phone in its segment.,5
Great product,Nyc mobile,5
Decent product,Battery issue,3
Terrific purchase,Superb quality mobile battery backup and camera superb 5/5,5
Fabulous!,Worthy product,5
Highly recommended,Very nice battery longest prefomance,5
Wonderful,Delivery is late but still product is good. But infinix need some improvements in camera,5
Fabulous!,Good,5
Really Nice,Good Phone at this price range.,4
Not good,My phone is screen black not work display did not like it please support me,2
Simply awesome,Nice product,5
Terrific purchase,Bettery is 👌,5
Great product,wellness product,5
Simply awesome,"6.82 inch giant screen
Puch hole display
6000 mAh massive battery
4 GB+ 3 GB virtual = 7 GB ram
90 heartz super smooth display
You will get all this things in such a affordable price!!!
So what more could you want?
Ignore all negetive comments, stop searching on the internet, don't think too much and just buy now this amazing phone!
You will surely not feel regret after buying this phone and thanks me later.",5
Just wow!,Excellent,5
Classy product,Good,5
Awesome,Value for money,5
Pretty good,Nice phone..Camera is ok ok..Good phone in this range,4
Nice product,Good product,4
Very poor,Not worthy product,1
Perfect product!,Very nice product is this renge but camera is not good,5
Fair,Network is good not working 🤑,3
Does the job,Good,3
Super!,Very good,5
Fair,Sound is slow bettry bekup is not best this mobile velue for money,3
Classy product,"Really awesome, Worth for the price. And the screen size is unbelievable.. totally worthy ...",5
Nice,"(1) Camera : Poor
(2) Speker : Lowest
(3) Battry : Good
(4) Performance : Medium
(5) Fast Charge : No
(6) Display : Lowest",3
Absolute rubbish!,Never buy this product,1
Fabulous!,"Good mobile
Good performance
Good camera this price range
Games play smoothly good",5
Slightly disappointed,"Everything is fine except battery charging , but this UI is new for me so , making some difficult for me..
I got this phone on 25th of June , after draining battery fully , when I plugged in to charge . It took 11.5 hours to get fully charged with its provided adapter.. this was very disappointing .. battery backup is good enough.. camera is not expected as stated .. I can click as clean as photo with 5MP of redmi phone , which I can't with its 13MP lens.. I made return request.. it's good t...
READ MORE",2
Highly recommended,Very nice,5
Pretty good,Have been using for 1 month.. Till now faced no issues..,4
Not recommended at all,Very bad performance,1
Wonderful,Good,4
Very Good,"Pros:
1) Mobile size is very large. While watching the videos, will enjoy.
2) Battery capacity: 6000mah. This is more than enough for everyone. As per my observation if it's normal usage then it will come two days
, For heavy usage surely it will come 1 day.
3) Running on Android 11 OS . This is fine.
4) Cost: With this price we won't get any other brand mobiles with all specifications.

Cons:
1) It will take more than 2.5 hours for complete charging
2) Camera is not upto the mark
3) Sound i...
READ MORE",4
Perfect product!,In Low price too good mobile.,5
Worth every penny,Very nice phone,5
Perfect product!,Its good product thanku infinix,5
Does the job,"Microphone isn't working properly.camera is very bad .
Think before buy😶",3
Just wow!,Superrr value for money thanks to flipkart,5
Value-for-money,Worth,4
Must buy!,good product at this price,5
Waste of money!,Bkwash mobile don't Bay Ani parcene battery backup very poor and Bluetooth canectivi bad,1
Wonderful,Value for money,4
Terrific purchase,Superb,5
Does the job,"Good looking, big phone. Only problem is- when opened setting it will stop screen, seen wait or close option. Otherwise all good.",3
Best in the market!,Super quality,5
Highly recommended,"Good product midrange best mobile from infinix
Absolutely purchase this product 🙂🙂🙂",5
Fabulous!,Very good product,5
Just wow!,Beutiful image,5
Brilliant,Thanks,5
Good,Camara picture quality worst,3
Simply awesome,Nice,5
Hated it!,Very disappointed with this mobile 😞😞,1
Horrible,This is a average phone. Not expect much from it.,1
Simply awesome,Good product for price,5
Best in the market!,Bestie product Of this price,5
Nice product,Cheap and best quality thanks Flipkart,4
Perfect product!,Very good,5
Wonderful,Good product and value for money,5
Must buy!,Awesome please buy this product,5
Super!,Good 👍,5
Simply awesome,Good,5
Excellent,Value for money totally,5
Delightful,Value for money good phone in this price but music quality is very dawn not recommend for music lover because I am music lover and am nat satisfied for music,4
Fabulous!,Super,5
Perfect product!,It's good,5
Very Good,Worth of money,4
Good,Good mobile in this price range..,3
Worst experience ever!,Don't buy this. This product is waste of money.,1
Very Good,Heating Issue Otherwise Overall Very Good.,4
Pretty good,Very good product. Budget friendly smartphone,4
Highly recommended,Good,5
Fabulous!,Phone performance is good in this price range. 4gb ram and 64 gb rom with 90 hz display is plus point to buy it. If camera doesn't matter then go for it. Only 1 issue is 2 watt charging which charge it 3 to 4 hours.,5
Did not meet expectations,Such a very bad experience for Flipkart,1
Useless product,"Very bad speaker quality
Bad camera",1
Mind-blowing purchase,Excellent,5
Terrible product,I RAISED FOR REPLACEMENT BUT THE PRODUCT NOT REPLACED THE SENSOR IS NOT WORKING PROPERLY,1
Good choice,Value for money and within budget,4
Mind-blowing purchase,Good phone,5
Bad quality only good battery,"Internet goes off after a day, u have to restart the phone to get it back, it goes to emergency calls inside the pocket and obviously dials random no.s accordingly, it doesn't keep u connected with bt ear phones and when earphones disconnected for long time they go auto off, camera is very bad outdated, I dint realize its only for 7 day trail or I wud have returned it, the only good thing about it is battery and i dont know when it will start going down suddenly",2
Terrific,Nice,5
Absolute rubbish!,Verybad quality of voice,1
Terrific purchase,"Good quality
Infinix is best",5
Worth every penny,"Very good battery backup & Good phone ,but camera quality was little bit not cleared.",5
Perfect product!,Great phone in this range....,5
Terrific purchase,Super phone under 9000 best phone,5
Worthless,Verry bad phone,1
Must buy!,Must purchase,5
Worst experience ever!,Battery issue bad product,1
Best in the market!,Excellent phone this price range,5
Terrific purchase,Nice,5
Perfect product!,Good product,5
Simply awesome,Excellent,5
Simply awesome,Nice,5
Awesome,Nice device,5
Nice,"Sound not good quality, camera midiam quality.",3
Terrific,Good product,5
Hated it!,"The camera is below standard, speaker are very basic still they claim Dolby ,charger cable is very down market,too blot ware , pre-installed useless app.",1
Awesome,Super,5
Perfect product!,Good good,5
Delightful,Nice phone,4
Must buy!,Good 📱📱,5
Worth the money,"Ok nice mobile under
8500",4
Worth every penny,Highly recommended,5
Terrific,Osm mobile...all are good,5
Must buy!,Ok,5
Classy product,"Good phone ,,,dilpa from Jharkhand",5
Terrific,It is very nice mobile in this budget very competitive mobile phone launch infinix hot 12 play,5
Great product,Good,5
Not recommended at all,Mobile heating problem,1
Wonderful,"If you want to buy a smartphone which is under 10000 and with new technology also, then it's for you. Actually you will be happy to hear that all the new features gather in this smartphone 'Inffinix Hot 12 Play'. So, let's buy with free mind.",5
Highly recommended,Super pice,5
Just wow!,Budget price value of money,5
Good quality product,"Good value for money product. Camera I not that good but you can't complain about it because of price. Fingerprint & face unlock works perfectly & quite fast.

Battery is beast.",4
Wonderful,Excellent 👌,5
Great product,Good,4
Worth every penny,Nice phone in this price. I bought it due to battery. It has 6000maH battery.,5
Utterly Disappointed,Battery backup is low and it's have hanging problem,1
Not good,Not happy,2
Highly recommended,Super,5
Best in the market!,Nice fone thanks flifcart,5
Good choice,Really good Product,4
Value-for-money,Bought for my mom..she loved good phone,4
Very Good,good,4
Just wow!,Good,5
Good quality product,Good,4
Awesome,Good,5
Just okay,Very good product,3
Highly recommended,Super,5
Mind-blowing purchase,So good,5
Best in the market!,At this price range best phone ever,5
Worthless,Not perfect,1
Brilliant,Great device according to price,5
Value-for-money,Very good,4
Don't waste your money,"I got something problem in this brand.
Sometimes it switch off automatically.
Sometimes hang also.
If incoming call come to then other person can listen. Voice come out. Don't know it is setting problem or by default.
Battery is ok, no problem ! But battery performance based on your usage. You can't judge that why battery performance are good or bad compare to others.
I think you may be only one time customer in this brand.
According to budget it's not bad.",1
Best in the market!,Nice,5
Perfect product!,Okk,5
Nice product,Nice,4
Great product,Good,5
Value-for-money,Good,4
Good choice,Nice,4
Just wow!,Good,5
Fair,Super product,3
Very Good,Best phone,4
Terrific purchase,Amazing,5
Just okay,Wow solid phone solid battery power display also good I think best phone for this bought I am so happy for this item thank you flipkart to fast delivery,3
Worth every penny,Awesome product. Thanks to Flipkart,5
Simply awesome,That's okay we can use it,5
Expected a better product,Camera is not so good .,2
Good,Rough use is ok,3
Terrific,Good Mobile,5
Fabulous!,Nice product,5
Wonderful,Best value for money. Screen and battery are amazing.,5
Brilliant,Very nice phone.battery performance is good.camera quality is ok.value for money,5
Unsatisfactory,Disgusting,1
Good quality product,Low price best phone,4
Value-for-money,Best product in this price,4
Terrific,good,5
Delightful,Good 👍,4
Really Nice,Very good product,4
Classy product,Good mobile,5
Wonderful,My little brother vary happy 🤗🤗,5
Great product,Ok,5
Wonderful,"Looking is good, battery good, but touch is slow and gaming app is slowly",4
Excellent,I'm happy,5
Good choice,Good,4
Brilliant,Beatobile I'm this price segment,5
Worth every penny,Nice,5
Perfect product!,Nice,5
Great product,Nic,5
Very Good,So good,4
Just okay,Gd product battery backup is too gd but camera is billow average but with this prise very gd product,3
Worth every penny,Avrege phone co.,5
Super!,Product is very good in low price performance is good but camera is cheap quality,5
Good choice,Good quality very good bettary backup,4
Nice product,Nice phone,4
Delightful,Nice,4
Fair,"Dishplay quality is very cheapest(bad) ithink it's tft dishplay
Otherwise battry perforce is exlent and camera is average",3
Super!,Super mobile iam satisfied infinix hot 12,5
Terrific purchase,Nice,5
Great product,Good,5
Pretty good,Nice product 👌,4
Mind-blowing purchase,Best phone in this range,5
Very poor,Don't buy this phone.. very poor quality,1
Value-for-money,According to price good product,4
Highly recommended,"Dear Friends
If you compromise with camera it is the best mobile with good battery backup, for day-to-day usage.",5
Perfect product!,Excellent in short...,5
Awesome,Awesome 👍,5
Fair,This price is okay,3
Perfect product!,Good,5
Fabulous!,Really it is very nice product. Value money,5
Terrific purchase,Super,5
Awesome,Good mobile good price,5
Very poor,"Speaker and mic.very poor
I m not happy",1
Highly recommended,I love this phone,5
Perfect product!,Long have batry,5
Mind-blowing purchase,Good product in this price,5
Nice product,This price range good phone,4
Decent product,Infinix mobile is good but heating problem should be remove in upcoming variation,3
Worth the money,Good,4
Great product,Ecard good,5
Hated it!,Camera is very low quality,1
Terrific purchase,Nice 👍🔥🥰 phone 📱,5
Terrific purchase,Superbbbb,5
Good,About good,3
Super!,BEST MOBILE,5
Just wow!,"Very good mobile but camera is not good and screen display is large it is good.
Worth it",5
Pretty good,Super,4
Super!,Nice 👍 it's value for money 💲,5
Awesome,Best mobile in this range,5
Really Nice,Good,4
Fabulous!,Very nice,5
Fabulous!,Good,5
Fair,Battery very nice but camera is very bad,3
Nice product,Mobile is good but plastic cover is very bad,4
Must buy!,Very nice,5
Great product,Good,5
Pretty good,Nice,4
Highly recommended,Good,5
Perfect product!,Very good cemera,5
Super!,Perfect with this cost,5
Fair,Feeling nice looking good but not used me yet,3
Hated it!,This mobile button is not working properly That's why this mobile gets switched off again and again.,1
Nice product,Good fo to this cost,4
Simply awesome,Overall good 👍🏻😊,5
Simply awesome,Nice,5
Perfect product!,It is good 👍👍,5
Fair,Good,3
Wonderful,Best phone,5
Brilliant,Nice budget friendly mobile phone,5
Best in the market!,Best at it price,5
Really Nice,Good,4
Must buy!,Good,5
Highly recommended,"How much me was thinking it's over then it
#1 mobile phone under 9000 really amezing , no have words... ❤️ I am fan of infinix, love you too much infinix and Flipkart also..❤️❤️",5
Perfect product!,Velu for money phone,5
Very poor,"Poor quality..
West of money..",1
Hated it!,Very bad quality,1
Could be way better,Camera fultu baki sob ok he,2
Does the job,"Product is good but not satisfied with charging speed & camera...
At this price it is okay ☺️👍",3
Very Good,Nice phone,4
Good quality product,Very nice phone and beautiful performance battery backup very good and camera so good,4
Awesome,Phone was very nice display was good but audio not bad any way phone was value of money😊,5
Fair,Overall good product,3
Terrific purchase,Good mobile,5
Good quality product,Value of money phone,4
Nice product,Nice phone in this range,4
Good choice,Awesome,4
Perfect product!,Good,5
Value-for-money,Nice mobile,4
Good choice,Nice 👍☺️,4
Best in the market!,Best phone,5
Mind-blowing purchase,Superb,5
Just okay,Best mobile phone,3
Terrific,Good,5
Super!,"1.Good battery performance
2.average camera (but makes justice for money)
3.good big display with punch hole camera

Con's
1.No super fast charging
2.Too heavy
3.No Quality in speaker sound (compare to other phone)

You cannot expect everything amazing At this price, so the phone is absolutely recommend to buy..... especially for elderly",5
Awesome,Good phone,5
Delightful,Good,4
Terrific purchase,Good,5
Brilliant,"Nice phone
Looking best
Battery long time",5
Just wow!,Very nice,5
Wonderful,Good and fast delivery,4
Simply awesome,Good,5
Brilliant,Best use for simple man 🙂,5
Fabulous!,Osm good battery life average camera ni display,5
Wonderful,Very nice product,5
Awesome,Very good and out standing,5
Delightful,Perfect Mobile in Range,4
Good choice,Good performance by infinix mobile,4
Super!,Good,5
Really Nice,Overall good,4
Does the job,📷Camera & speakar low quality,3
Value-for-money,Value for money,4
Worth every penny,Nice product...,5
Great product,"Best budget phone
And good mobile for this price segment
Thanks ❤flipkart 😍",5
Awesome,Good,5
Useless product,Not best quality,1
Worth the money,This phone is very nice.and I bought two phone of infinix 😘😘😘,4
Terrific,Good mobile iam so happy,5
Wonderful,I like this product,4
Brilliant,Nice phone,5
Wonderful,Amazing 🤩 love it,5
Really Nice,good,4
Super!,Very good,5
Terrible product,"Phone is totally good,
But camera quantity is very bad",1
Great product,Supar,5
Super!,"Nice infinix 12play mobile.
Thank you",5
Wonderful,Ok,5
Worth every penny,Nice product,5
Very Good,Very good and iam very happy,4
Terrific,Super phone,5
Great product,Very nice,5
Just wow!,Good,5
Just wow!,Best cost Best mobile,5
Highly recommended,Very nice,5
Brilliant,Nice,5
Worth every penny,"Very very amazing this phone. It’s a budget phone. Battery is too good, the camera is good as per price. I am fully satisfied with this smart phone.",5
Classy product,Phone is osme,5
Awesome,Simply super,5
Excellent,Super quality,5
Excellent,Very good 👍,5
Fabulous!,"Good produced
many",5
Wonderful,Good,4
Wonderful,Ok,5
Excellent,Good performance 💯,5
Just okay,Camara qwality ledhu,3
Very Good,Good mobile in this price,4
Not good,Bad phone,2
Really Nice,"Nice, super l",4
Wonderful,Very good,5
Terrible product,So bad,1
Horrible,Automatically switch off,1
Terrific purchase,Everything is good,5
Slightly disappointed,Battery🔋 unlike,2
Simply awesome,Good product 👍,5
Decent product,"This Phone is good no damages
But before Phone is damage phone deliver to me
But this is good",3
Just wow!,Nice product..,5
Really Nice,I am really satisfied,4
Terrific,Good,5
Great product,Good,5
Fabulous!,Right choice and profitable,5
Pretty good,Amazing product at such a good rate if ur performance lover like playing games at high quality and long battery without lag this product is owsome,4
Terrific purchase,Nice phone,5
Pretty good,Ok,4
Nice,"Phone Over-all is good 👍
But camera is very Average
Performance good
Battery Life is good",3
Value-for-money,Good product and good mobile phone,4
Very Good,Super,4
Does the job,Good product,3
Simply awesome,Excellent product in this cheap price. Everyone should buy this Mobile(Infinix Hot 12Play) with strong believe.,5
Best in the market!,Phone is good,5
Fabulous!,Bajat mobile,5
Perfect product!,Good for price👍,5
Nice product,Best in budget,4
Fair,"Display is not good ,it slitly rough ,,,ph is bit heavy weight, we can't use single hand for a while,,,
Camera is not good enough but this is good for this price range,,,

You add some more money and go another price segment",3
Awesome,Superb mobile,5
Mind-blowing purchase,Really nice phone,5
Worth the money,"Phone is nice but i hvn't use it i bought for my dad so.. Hope its good working, features phone",4
Don't waste your money,No dual app or app cloner rest all ok,1
Great product,Good,5
Wonderful,Good product,4
Mind-blowing purchase,Wonder ful product at this range,5
Just wow!,Best phone infinix mobile,5
Just wow!,Value for money,5
Worth every penny,Osm products,5
Good quality product,Nice,4
Good quality product,So good,4
Just okay,Product is good,3
Perfect product!,amazing future and will work,5
Delightful,The product,4
Classy product,Nice,5
Simply awesome,Nice phone📱,5
Brilliant,Good value for money 💰,5
Best in the market!,Nice product 👍👍,5
Delightful,Good but charging slow,4
Decent product,"It was okay. In this price this product is not good. Camera 👎
Battery 👍
Display 👎
Charge time 👎",3
